
Michael_Jackson,Michael_JacksonLabel,liste_des_chansons,liste_des_chansonsLabel,genre_artistique,genre_artistiqueLabel,date_de_publication
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q19856961,Got to Be There,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q104776893,Love Is Here and Now You’re Gone,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q104777366,Rockin' Robin,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109070631,Ain't No Sunshine,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109788077,You've Got a Friend,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109795831,I Wanna Be Where You Are,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796457,Girl Don't Take Your Love From Me,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796552,In Our Small Way,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796899,Maria (You Were the Only One),http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109797058,Wings of My Love,http://www.wikidata.org/entity/Q131272,soul,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q19856961,Got to Be There,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q104776893,Love Is Here and Now You’re Gone,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q104777366,Rockin' Robin,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109070631,Ain't No Sunshine,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109788077,You've Got a Friend,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109795831,I Wanna Be Where You Are,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796457,Girl Don't Take Your Love From Me,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796552,In Our Small Way,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109796899,Maria (You Were the Only One),http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
http://www.wikidata.org/entity/Q19060,Got to Be There,http://www.wikidata.org/entity/Q109797058,Wings of My Love,http://www.wikidata.org/entity/Q850412,RnB contemporain,1972-01-24T00:00:00Z
